card_organism,positive_count
Pseudomonas aeruginosa,1079
Acinetobacter baumannii,731
Klebsiella pneumoniae,700
Escherichia coli,558
Enterobacter cloacae,170
"Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance",132
Citrobacter freundii,123
Acinetobacter pittii,93
Campylobacter jejuni,76
Klebsiella oxytoca,72
Proteus mirabilis,67
uncultured bacterium,63
Enterococcus faecium,45
Enterobacter hormaechei,45
Acinetobacter calcoaceticus,41
Aeromonas caviae,40
Staphylococcus aureus,39
Elizabethkingia meningoseptica,37
Pseudomonas aeruginosa PAO1,35
Burkholderia multivorans,35
Enterococcus faecalis,34
Serratia marcescens,33
Bacteroides fragilis,33
Achromobacter xylosoxidans,31
Vibrio parahaemolyticus,30
Enterobacter cloacae complex,27
Enterobacter asburiae,26
Acinetobacter bereziniae,25
Elizabethkingia anophelis,24
Pseudomonas,24
Chryseobacterium indologenes,21
Escherichia coli str. K-12 substr. MG1655,21
Morganella morganii,20
Enterobacter kobei,19
Salmonella enterica subsp. enterica serovar Typhimurium,19
Acinetobacter radioresistens,18
Brachyspira pilosicoli,17
Stenotrophomonas maltophilia,17
Acinetobacter johnsonii,16
Providencia stuartii,16
Serratia fonticola,16
Acinetobacter lwoffii,15
Campylobacter,15
Aeromonas hydrophila,15
Klebsiella variicola,14
Klebsiella michiganensis,14
Paenibacillus sp. LC231,13
Acinetobacter nosocomialis,13
Citrobacter braakii,13
Acinetobacter lactucae,12
Providencia rettgeri,12
Acinetobacter,12
Enterobacter roggenkampii,11
Aeromonas veronii,11
Shewanella algae,10
Klebsiella quasipneumoniae,10
Vibrio cholerae,10
Escherichia coli str. K-12 substr. W3110,10
Pseudomonas putida,10
Enterobacter bugandensis,9
Neisseria gonorrhoeae,9
Salmonella enterica,9
Aeromonas allosaccharophila,8
Acinetobacter calcoaceticus/baumannii complex,8
Pandoraea sputorum,8
Riemerella anatipestifer,8
Rhodococcus hoagii,8
Acinetobacter haemolyticus,8
Brucella anthropi,8
Klebsiella aerogenes,8
Streptococcus pyogenes,7
Paenibacillus popilliae ATCC 14706,7
Pasteurella multocida,7
Acinetobacter sp.,7
Laribacter hongkongensis,7
Atlantibacter hermannii,7
Citrobacter koseri,7
Mycobacterium tuberculosis H37Rv,7
Clostridioides difficile,7
Bacillus subtilis subsp. subtilis str. 168,7
Enterobacter,7
Shewanella xiamenensis,7
Streptomyces fradiae,7
Klebsiella,6
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,6
Ralstonia mannitolilytica,6
Raoultella planticola,6
Achromobacter ruhlandii,6
Enterobacter ludwigii,6
Acinetobacter courvalinii,6
Campylobacter coli,6
Klebsiella pneumoniae subsp. pneumoniae,6
Enterococcus gallinarum,6
Acinetobacter baumannii AYE,6
Burkholderia cenocepacia,6
Klebsiella variicola subsp. tropica,6
Acinetobacter schindleri,6
Brachyspira pulli,6
Clostridium perfringens,6
Aeromonas sobria,6
Aeromonas,6
Staphylococcus arlettae,6
Citrobacter portucalensis,5
Pseudomonas fluorescens,5
Aeromonas jandaei,5
Aeromonas media,5
Streptomyces rimosus,5
Burkholderia pseudomallei,5
Mycolicibacterium fortuitum,5
Macrococcus canis,5
Alkalihalobacillus clausii,5
Hafnia alvei,5
Acinetobacter faecalis,5
Shigella sonnei,5
Listeria monocytogenes,5
Mycolicibacterium smegmatis MC2 155,5
Salmonella enterica subsp. enterica serovar Agona,5
Enterobacter sp.,4
Staphylococcus cohnii,4
Rahnella aquatilis,4
Vibrio alginolyticus,4
Vibrio cholerae non-O1/non-O139,4
Klebsiella grimontii,4
Klebsiella pasteurii,4
Streptomyces ambofaciens,4
Ralstonia pickettii,4
Streptomyces antibioticus,4
Neisseria meningitidis MC58,4
Burkholderia cepacia,4
Citrobacter werkmanii,4
Acinetobacter vivianii,4
Raoultella ornithinolytica,4
Ralstonia insidiosa,4
Kluyvera ascorbata,4
Salmonella enterica subsp. enterica serovar Derby,4
Klebsiella huaxiensis,4
Vibrio harveyi,4
Acinetobacter proteolyticus,3
Phocaeicola vulgatus,3
Streptomyces griseus,3
Acinetobacter oleivorans,3
Bacteroides thetaiotaomicron,3
Haemophilus parainfluenzae,3
Acinetobacter baumannii AB0057,3
Klebsiella spallanzanii,3
Streptococcus agalactiae,3
Salmonella enterica subsp. enterica serovar Enteritidis,3
Cupriavidus gilardii,3
Raoultella terrigena,3
Desulfitobacterium hafniense Y51,3
Vibrio fluvialis,3
Bacillus licheniformis,3
Mammaliicoccus lentus,3
Pandoraea pnomenusa,3
Klebsiella sp.,3
Staphylococcus epidermidis,3
Kluyvera georgiana,3
Aeromonas dhakensis,3
Proteus vulgaris,3
Acinetobacter colistiniresistens,3
Aeromonas salmonicida,3
Bacillus anthracis,3
Enterobacter quasiroggenkampii,3
Staphylococcus aureus subsp. aureus N315,3
Bacillus cereus,3
Streptomyces venezuelae,3
Achromobacter insuavis AXX-A,3
Achromobacter insuavis,3
Enterobacter sichuanensis,3
Streptomyces lividans,3
Empedobacter falsenii,3
Myroides odoratimimus,3
Pseudomonas tohonis,3
Achromobacter dolens,3
Acinetobacter variabilis,3
Mammaliicoccus sciuri,3
Escherichia coli O157:H7 str. Sakai,3
Trueperella pyogenes,2
Pseudomonas alcaligenes,2
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,2
Staphylococcus xylosus,2
Megasphaera elsdenii,2
Acinetobacter sp. NIPH 758,2
Haemophilus influenzae,2
Pseudoxanthomonas japonensis,2
Legionella pneumophila str. Paris,2
